Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,-346.255393,-130.805393,180,bottom
C2,100nF,C_0805_2012Metric,-356.155393,-128.705393,90,bottom
C3,100nF,C_0805_2012Metric,-359.255393,-140.005393,0,bottom
C4,4.7uF,C_0805_2012Metric,-359.255393,-137.886643,0,bottom
C5,4.7uF,C_0805_2012Metric,-358.205393,-128.705393,90,bottom
C6,10nF,C_0805_2012Metric,-346.955393,-142.205393,-90,bottom
C7,1uF,C_0805_2012Metric,-344.905393,-142.205393,-90,bottom
C8,22pF,C_0805_2012Metric,-355.605393,-144.155393,90,bottom
C9,22pF,C_0805_2012Metric,-349.205393,-144.155393,-90,bottom
C10,1uF,C_0805_2012Metric,-331.511643,-109.405393,180,bottom
C11,1uF,C_0805_2012Metric,-330.561643,-115.905393,180,bottom
C12,4.7uF,C_0805_2012Metric,-361.005393,-154.655393,0,bottom
C13,1uF,C_0805_2012Metric,-355.605393,-161.555393,-90,bottom
D1,1N4148W,D_SOD-123,-61.380393,-96.305393,90,bottom
D2,1N4148W,D_SOD-123,-80.430393,-96.305393,90,bottom
D3,1N4148W,D_SOD-123,-99.480393,-96.305393,90,bottom
D4,1N4148W,D_SOD-123,-118.530393,-96.305393,90,bottom
D5,1N4148W,D_SOD-123,-137.580393,-96.305393,90,bottom
D6,1N4148W,D_SOD-123,-156.630393,-96.305393,90,bottom
D7,1N4148W,D_SOD-123,-175.680393,-96.305393,90,bottom
D8,1N4148W,D_SOD-123,-194.730393,-96.305393,90,bottom
D9,1N4148W,D_SOD-123,-213.780393,-96.305393,90,bottom
D10,1N4148W,D_SOD-123,-232.830393,-96.305393,90,bottom
D11,1N4148W,D_SOD-123,-251.880393,-96.305393,90,bottom
D12,1N4148W,D_SOD-123,-270.930393,-96.305393,90,bottom
D13,1N4148W,D_SOD-123,-288.789768,-96.305393,90,bottom
D14,1N4148W,D_SOD-123,-291.171018,-96.305393,90,bottom
D15,1N4148W,D_SOD-123,-328.080393,-96.305393,90,bottom
D16,1N4148W,D_SOD-123,-354.274143,-96.305393,90,bottom
D17,1N4148W,D_SOD-123,-66.142893,-115.355393,90,bottom
D18,1N4148W,D_SOD-123,-89.955393,-115.355393,90,bottom
D19,1N4148W,D_SOD-123,-109.005393,-115.355393,90,bottom
D20,1N4148W,D_SOD-123,-128.055393,-115.355393,90,bottom
D21,1N4148W,D_SOD-123,-147.105393,-115.355393,90,bottom
D22,1N4148W,D_SOD-123,-166.155393,-115.355393,90,bottom
D23,1N4148W,D_SOD-123,-185.205393,-115.355393,90,bottom
D24,1N4148W,D_SOD-123,-204.255393,-115.355393,90,bottom
D25,1N4148W,D_SOD-123,-223.305393,-115.355393,90,bottom
D26,1N4148W,D_SOD-123,-242.355393,-115.355393,90,bottom
D27,1N4148W,D_SOD-123,-261.405393,-115.355393,90,bottom
D28,1N4148W,D_SOD-123,-280.455393,-115.355393,90,bottom
D29,1N4148W,D_SOD-123,-298.314768,-115.355393,90,bottom
D30,1N4148W,D_SOD-123,-300.696018,-115.355393,90,bottom
D31,1N4148W,D_SOD-123,-349.511643,-96.305393,90,bottom
D32,1N4148W,D_SOD-123,-351.892893,-96.305393,90,bottom
D33,1N4148W,D_SOD-123,-68.524143,-134.405393,90,bottom
D34,1N4148W,D_SOD-123,-94.717893,-134.405393,90,bottom
D35,1N4148W,D_SOD-123,-113.767893,-134.405393,90,bottom
D36,1N4148W,D_SOD-123,-132.817893,-134.405393,90,bottom
D37,1N4148W,D_SOD-123,-151.867893,-134.405393,90,bottom
D38,1N4148W,D_SOD-123,-170.917893,-134.405393,90,bottom
D39,1N4148W,D_SOD-123,-189.967893,-134.405393,90,bottom
D40,1N4148W,D_SOD-123,-209.017893,-134.405393,90,bottom
D41,1N4148W,D_SOD-123,-228.067893,-134.405393,90,bottom
D42,1N4148W,D_SOD-123,-247.117893,-134.405393,90,bottom
D43,1N4148W,D_SOD-123,-266.167893,-134.405393,90,bottom
D44,1N4148W,D_SOD-123,-282.836643,-134.405393,90,bottom
D45,1N4148W,D_SOD-123,-285.217893,-134.405393,90,bottom
D46,1N4148W,D_SOD-123,-287.599143,-134.405393,90,bottom
D47,1N4148W,D_SOD-123,-350.702268,-115.355393,90,bottom
D48,1N4148W,D_SOD-123,-66.905393,-153.455393,90,bottom
D49,1N4148W,D_SOD-123,-86.383518,-153.455393,90,bottom
D50,1N4148W,D_SOD-123,-104.242893,-153.455393,90,bottom
D51,1N4148W,D_SOD-123,-123.292893,-153.455393,90,bottom
D52,1N4148W,D_SOD-123,-142.342893,-153.455393,90,bottom
D53,1N4148W,D_SOD-123,-161.392893,-153.455393,90,bottom
D54,1N4148W,D_SOD-123,-180.442893,-153.455393,90,bottom
D55,1N4148W,D_SOD-123,-199.492893,-153.455393,90,bottom
D56,1N4148W,D_SOD-123,-218.542893,-153.455393,90,bottom
D57,1N4148W,D_SOD-123,-237.592893,-153.455393,90,bottom
D58,1N4148W,D_SOD-123,-256.642893,-153.455393,90,bottom
D59,1N4148W,D_SOD-123,-274.502268,-153.455393,90,bottom
D60,1N4148W,D_SOD-123,-276.883518,-153.455393,90,bottom
D61,1N4148W,D_SOD-123,-328.080393,-153.455393,90,bottom
D62,1N4148W,D_SOD-123,-330.461643,-153.455393,90,bottom
D63,1N4148W,D_SOD-123,-351.892893,-158.217893,90,bottom
D64,1N4148W,D_SOD-123,-66.142893,-172.505393,90,bottom
D65,1N4148W,D_SOD-123,-88.764768,-172.505393,90,bottom
D66,1N4148W,D_SOD-123,-111.386643,-172.505393,90,bottom
D67,1N4148W,D_SOD-123,-128.055393,-172.505393,90,bottom
D68,1N4148W,D_SOD-123,-194.730393,-172.505393,90,bottom
D69,1N4148W,D_SOD-123,-235.211643,-172.505393,90,bottom
D70,1N4148W,D_SOD-123,-257.833518,-172.505393,90,bottom
D71,1N4148W,D_SOD-123,-282.836643,-172.505393,90,bottom
D72,1N4148W,D_SOD-123,-304.267893,-172.505393,90,bottom
D73,1N4148W,D_SOD-123,-332.842893,-177.267893,90,bottom
D74,1N4148W,D_SOD-123,-350.702268,-177.267893,90,bottom
D75,1N4148W,D_SOD-123,-353.083518,-177.267893,90,bottom
J1,JST-SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-330.461643,-104.180393,90,bottom
Q1,2N7002,SOT-23,-359.117893,-160.605393,180,bottom
R1,10k,R_0805_2012Metric,-357.267893,-157.155393,0,bottom
R2,10k,R_0805_2012Metric,-365.855393,-155.567893,-90,bottom
R3,100k,R_0805_2012Metric,-360.967893,-157.155393,0,bottom
R4,220,R_0805_2012Metric,-253.603125,-176.2125,90,bottom
R5,220,R_0805_2012Metric,-54.594143,-141.2,0,bottom
R6,1.5k,R_0805_2012Metric,-336.355393,-102.742893,-90,bottom
SW1,TS-1187A-B-A-B,SW_SPST_TL3342,-363.855393,-148.755393,-90,bottom
U1,STM32F072CBUx,STM32_CxT_CxU_Hybrid,-351.892893,-135.136643,90,bottom
U2,XC6206P332MR,SOT-23,-332.461643,-112.592893,90,bottom
Y1,16 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-352.392893,-144.155393,180,bottom
